Time,Open,High,Low,Last,Change,%Chg,Volume
08/02/2023,4550.93,4550.93,4505.75,4513.39,-63.34,-1.38%,2466207896
08/01/2023,4578.83,4584.62,4567.53,4576.73,-12.23,-0.27%,2172699881
07/31/2023,4584.82,4594.22,4573.14,4588.96,6.73,+0.15%,2411537985
07/28/2023,4565.75,4590.16,4564.01,4582.23,44.82,+0.99%,2359801217
07/27/2023,4598.26,4607.07,4528.56,4537.41,-29.34,-0.64%,2666286293
07/26/2023,4558.96,4582.47,4547.58,4566.75,-0.71,-0.02%,2312272045
07/25/2023,4555.19,4580.62,4552.42,4567.46,12.82,+0.28%,2305490101
07/24/2023,4543.39,4563.41,4541.29,4554.64,18.3,+0.40%,2136206636
07/21/2023,4550.16,4555,4535.79,4536.34,1.47,+0.03%,3275429686
07/20/2023,4554.38,4564.74,4527.56,4534.87,-30.85,-0.68%,2593544503
07/19/2023,4563.87,4578.43,4557.48,4565.72,10.74,+0.24%,2585040201
07/18/2023,4521.78,4562.3,4514.59,4554.98,32.19,+0.71%,2538286894
07/17/2023,4508.86,4532.85,4504.9,4522.79,17.37,+0.39%,2357507633
07/14/2023,4514.61,4527.76,4499.56,4505.42,-4.62,-0.10%,2371250817
07/13/2023,4491.5,4517.38,4489.36,4510.04,37.88,+0.85%,2254612299
07/12/2023,4467.69,4488.34,4463.23,4472.16,32.9,+0.74%,2323660864
07/11/2023,4415.55,4443.64,4408.46,4439.26,29.73,+0.67%,2131114902
07/10/2023,4394.23,4412.6,4389.92,4409.53,10.58,+0.24%,2171846554
07/07/2023,4404.54,4440.39,4397.4,4398.95,-12.64,-0.29%,2113381973
07/06/2023,4422.62,4422.62,4385.05,4411.59,-35.23,-0.79%,2226039196
07/05/2023,4442.04,4454.06,4436.61,4446.82,-8.77,-0.20%,2152798808
07/03/2023,4450.48,4456.46,4442.29,4455.59,5.21,+0.12%,1243004399
06/30/2023,4422.44,4458.48,4422.44,4450.38,53.94,+1.23%,2489651506
06/29/2023,4374.94,4398.39,4371.97,4396.44,19.58,+0.45%,2152193154
06/28/2023,4367.48,4390.35,4360.22,4376.86,-1.55,-0.04%,2276949818
06/27/2023,4337.36,4384.42,4335,4378.41,49.59,+1.15%,2286873269
06/26/2023,4344.84,4362.06,4328.08,4328.82,-19.51,-0.45%,2248760425
06/23/2023,4354.17,4366.55,4341.34,4348.33,-33.56,-0.77%,3056621301
06/22/2023,4355.4,4382.25,4351.82,4381.89,16.2,+0.37%,2091147063
06/21/2023,4380.01,4386.22,4360.14,4365.69,-23.02,-0.52%,2324030886
06/20/2023,4396.11,4400.15,4367.19,4388.71,-20.88,-0.47%,2431767578
06/16/2023,4440.95,4448.47,4407.44,4409.59,-16.25,-0.37%,4195443308
06/15/2023,4365.33,4439.2,4362.6,4425.84,53.25,+1.22%,2569292175
06/14/2023,4366.29,4391.82,4337.85,4372.59,3.58,+0.08%,2641024713
06/13/2023,4352.61,4375.37,4349.31,4369.01,30.08,+0.69%,2547779855
06/12/2023,4308.32,4340.13,4304.37,4338.93,40.07,+0.93%,2457045650
06/09/2023,4304.88,4322.62,4291.7,4298.86,4.93,+0.11%,2141505268
06/08/2023,4268.69,4298.01,4261.07,4293.93,26.41,+0.62%,2224429186
06/07/2023,4285.47,4299.19,4263.96,4267.52,-16.33,-0.38%,2726818936
06/06/2023,4271.34,4288.33,4263.09,4283.85,10.06,+0.24%,2246726404
06/05/2023,4282.99,4299.28,4266.82,4273.79,-8.58,-0.20%,2189296481
06/02/2023,4241.01,4290.67,4241.01,4282.37,61.35,+1.45%,2730479867
06/01/2023,4183.03,4232.43,4171.64,4221.02,41.19,+0.99%,2581648680
05/31/2023,4190.74,4195.44,4166.15,4179.83,-25.69,-0.61%,4400897953
05/30/2023,4226.71,4231.1,4192.18,4205.52,0.07,0.00%,2562757079
