Date,Adj Close,Year,,,Year,First Close,Last Close,Return for Year,Total Return 20 Years,Average Return 20 Years
6/13/1994,459.100006,1994,,,,,,,,
6/14/1994,462.369995,1994,,,,,,,,
6/15/1994,460.609985,1994,,,,,,,,
6/16/1994,461.929993,1994,,,,,,,,
6/17/1994,458.450012,1994,,,,,,,,
6/20/1994,455.480011,1994,,,,,,,,
6/21/1994,451.339996,1994,,,,,,,,
6/22/1994,453.089996,1994,,,,,,,,
6/23/1994,449.630005,1994,,,,,,,,
6/24/1994,442.799988,1994,,,,,,,,
6/27/1994,447.309998,1994,,,,,,,,
6/28/1994,446.070007,1994,,,,,,,,
6/29/1994,447.630005,1994,,,,,,,,
6/30/1994,444.269989,1994,,,,,,,,
7/1/1994,446.200012,1994,,,,,,,,
7/5/1994,446.369995,1994,,,,,,,,
7/6/1994,446.130005,1994,,,,,,,,
7/7/1994,448.380005,1994,,,,,,,,
7/8/1994,449.549988,1994,,,,,,,,
7/11/1994,448.059998,1994,,,,,,,,
7/12/1994,447.950012,1994,,,,,,,,
7/13/1994,448.730011,1994,,,,,,,,
7/14/1994,453.410004,1994,,,,,,,,
7/15/1994,454.160004,1994,,,,,,,,
7/18/1994,455.220001,1994,,,,,,,,
7/19/1994,453.859985,1994,,,,,,,,
7/20/1994,451.600006,1994,,,,,,,,
7/21/1994,452.609985,1994,,,,,,,,
7/22/1994,453.109985,1994,,,,,,,,
7/25/1994,454.25,1994,,,,,,,,
7/26/1994,453.359985,1994,,,,,,,,
7/27/1994,452.570007,1994,,,,,,,,
7/28/1994,454.23999,1994,,,,,,,,
7/29/1994,458.26001,1994,,,,,,,,
8/1/1994,461.01001,1994,,,,,,,,
8/2/1994,460.559998,1994,,,,,,,,
8/3/1994,461.450012,1994,,,,,,,,
8/4/1994,458.399994,1994,,,,,,,,
8/5/1994,457.089996,1994,,,,,,,,
8/8/1994,457.890015,1994,,,,,,,,
8/9/1994,457.920013,1994,,,,,,,,
8/10/1994,460.299988,1994,,,,,,,,
8/11/1994,458.880005,1994,,,,,,,,
8/12/1994,461.940002,1994,,,,,,,,
8/15/1994,461.230011,1994,,,,,,,,
8/16/1994,465.01001,1994,,,,,,,,
8/17/1994,465.170013,1994,,,,,,,,
8/18/1994,463.170013,1994,,,,,,,,
8/19/1994,463.679993,1994,,,,,,,,
8/22/1994,462.320007,1994,,,,,,,,
8/23/1994,464.51001,1994,,,,,,,,
8/24/1994,469.029999,1994,,,,,,,,
8/25/1994,468.079987,1994,,,,,,,,
8/26/1994,473.799988,1994,,,,,,,,
